score,total_pnl,max_drawdown,sharpe,win_rate,profit_factor,trade_count,avg_trade_minutes,max_trade_minutes,n_orders,tp_pct,step_min,step_max,step_mode,size_min,size_max,size_mode
15.366419,1757.4201,428.1296,10.1502,100.0,1757420106607.1187,176,13717.5,146699.0,14,6.956,0.681,7.455,front_heavy,43.36,288.15,random
13.654409,1542.4912,371.892,10.3108,100.0,1542491220979.5376,150,15295.8,162573.0,19,7.544,1.515,6.198,front_heavy,29.21,159.37,flat
12.670358,1150.0693,304.7388,9.8104,100.0,1150069343402.327,134,17131.8,163219.0,20,7.787,0.369,7.291,front_heavy,22.46,26.87,pyramid
11.973216,863.0192,215.3275,11.334,100.0,863019173404.6227,120,19130.6,162418.0,25,7.721,0.785,6.867,front_heavy,13.52,74.78,random
10.867739,1698.4476,426.7745,12.7807,100.0,1698447559162.2126,272,8875.6,110957.0,15,5.436,0.837,6.719,front_heavy,46.68,72.18,linear_increase
10.789204,1483.585,276.6762,8.3629,100.0,1483584952341.88,193,12510.0,146696.0,17,7.884,0.447,6.275,front_heavy,41.0,146.78,geometric_increase
10.74655,1259.2379,426.0162,7.9894,100.0,1259237888278.5657,212,11404.6,123452.0,14,7.54,1.122,7.578,random,38.34,243.27,linear_increase
10.402107,1661.4258,407.7187,10.5021,100.0,1661425771860.051,179,12825.2,162086.0,22,7.223,0.971,5.33,front_heavy,20.87,191.39,flat
10.304722,1334.9191,380.7857,9.817,100.0,1334919121892.9736,164,13990.0,159231.0,17,7.444,0.761,7.253,front_heavy,35.95,62.53,geometric_increase
9.565381,1512.013,336.0663,9.9937,100.0,1512012977197.808,282,8560.8,107632.0,17,6.048,1.218,5.321,front_heavy,26.16,87.97,linear_increase
9.513611,1897.7354,443.1792,11.7236,100.0,1897735425505.4492,268,9008.2,127228.0,21,6.114,0.432,4.988,front_heavy,35.63,306.8,random
9.505559,1632.244,418.7174,11.767,100.0,1632243965168.9973,195,12380.8,162238.0,16,6.184,1.217,7.069,front_heavy,19.2,45.63,flat
8.733845,1033.3487,287.2885,6.7397,100.0,1033348663216.2607,257,9407.5,102328.0,20,7.596,0.714,5.864,front_heavy,11.41,170.3,pyramid
8.665646,2077.4784,504.074,7.5457,100.0,2077478437935.1533,294,8212.0,127150.0,12,7.229,1.018,5.326,front_heavy,9.27,186.4,geometric_increase
8.113554,775.6348,275.277,7.0001,100.0,775634791333.0525,178,13004.5,127150.0,16,7.736,1.203,7.814,front_heavy,21.28,132.08,linear_increase
8.093007,1234.435,314.9246,8.7474,100.0,1234434971170.0503,193,11953.2,147626.0,15,7.891,0.795,7.07,random,48.91,247.46,linear_increase
8.010813,1808.0544,430.9814,10.5075,100.0,1808054418398.9749,120,19290.0,289801.0,23,7.94,0.736,7.296,random,29.57,84.51,random
