score,total_pnl,max_drawdown,sharpe,win_rate,profit_factor,trade_count,avg_trade_minutes,max_trade_minutes,n_orders,tp_pct,step_min,step_max,step_mode,size_min,size_max,size_mode
6.468488,416.7909,101.1127,8.512,100.0,416790931913.7835,116,20217.7,162289.0,31,10.0,2.81,7.33,front_heavy,10.55,55.42,pyramid
5.263949,1752.1418,353.6838,9.536,100.0,1752141844942.557,190,11502.0,209847.0,29,10.0,1.57,3.73,geometric,6.17,100.41,geometric_increase
4.403102,1383.2552,412.1314,8.7269,100.0,1383255207127.9773,287,8172.6,144854.0,30,8.0,1.67,2.39,front_heavy,6.27,95.24,geometric_increase
3.943495,1090.1404,277.3871,10.1198,100.0,1090140404273.683,126,17344.3,288375.0,34,8.0,2.09,4.76,random,5.51,52.36,random
3.89861,2051.7828,424.59,9.9276,100.0,2051782795594.288,186,11708.4,268602.0,31,9.5,0.71,5.14,geometric,3.61,111.19,geometric_increase
3.684104,947.9911,283.0319,7.3442,100.0,947991123179.0634,235,10124.9,162415.0,32,9.5,0.74,5.77,random,2.03,60.47,pyramid
3.362128,625.2885,171.8278,9.324,100.0,625288543505.3302,110,19696.4,268608.0,35,8.5,4.33,7.83,random,8.64,51.37,random
3.080702,512.8968,115.1149,10.4809,100.0,512896750392.8311,104,20818.8,268624.0,32,9.0,1.36,7.29,front_heavy,22.49,40.01,linear_increase
3.045983,373.0496,103.3476,8.0269,100.0,373049587037.314,163,14653.6,162167.0,30,9.5,5.97,6.25,front_heavy,4.49,62.18,pyramid
2.954507,419.0605,109.7663,8.1238,100.0,419060533960.5371,104,22553.7,268605.0,29,9.5,1.96,9.04,front_heavy,8.81,58.5,random
2.915583,710.4313,169.9703,9.6233,100.0,710431256838.8438,127,17209.5,268638.0,35,9.5,5.26,7.38,random,7.43,46.24,random
2.618775,278.7653,61.6935,8.757,100.0,278765296770.2235,239,9955.8,102718.0,29,8.0,6.66,7.21,random,2.61,68.63,pyramid
2.614095,1366.1305,254.4658,11.4028,100.0,1366130485251.937,186,11750.2,268615.0,33,9.0,2.81,3.2,linear,13.09,47.52,linear_increase
2.606927,615.2464,144.7672,9.5398,100.0,615246385777.9579,125,17484.8,268609.0,32,9.5,5.5,5.74,back_heavy,14.71,47.79,pyramid
2.577444,331.1602,87.7081,10.7082,100.0,331160182945.9292,164,14302.3,162118.0,33,7.0,7.86,9.58,random,6.77,50.45,random
2.508691,732.6067,194.8782,8.7677,100.0,732606689769.6862,251,9343.7,159672.0,31,8.5,2.18,4.29,back_heavy,3.08,116.91,geometric_increase
2.502167,776.1848,228.8966,7.9975,100.0,776184834380.1597,259,9202.9,162087.0,35,8.5,3.02,3.77,front_heavy,3.17,55.46,pyramid
2.47034,581.2599,143.6129,8.6804,100.0,581259852242.0518,226,10566.4,162081.0,30,9.0,3.41,4.36,random,3.21,63.46,linear_increase
